Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
,,,,,,
Alameda County                                              ,"841,600","815,800","25,700",3.1%,1.000000,1.000000
,,,,,,
Alameda city,"41,300","40,100","1,200",2.9%,N/A,N/A
Albany city,"9,800","9,600",300,2.6%,0.011737,0.009843
Ashland CDP,"11,200","10,600",500,4.9%,0.013016,0.021148
Berkeley city,"62,600","60,800","1,800",2.9%,N/A,N/A
Castro Valley CDP,"31,600","30,800",900,2.8%,0.037704,0.034205
Cherryland CDP,"7,400","7,000",400,5.6%,0.008596,0.016050
Dublin city,"32,400","31,600",900,2.7%,N/A,N/A
Emeryville city,"7,400","7,300",200,2.2%,0.008903,0.006229
Fairview CDP,"5,300","5,200",100,1.5%,0.006417,0.003015
Fremont city,"120,400","117,100","3,200",2.7%,N/A,N/A
Hayward city,"77,700","75,100","2,600",3.3%,N/A,N/A
Livermore city,"48,300","47,100","1,300",2.6%,N/A,N/A
Newark city,"25,200","24,500",700,2.8%,N/A,N/A
Oakland city,"214,300","206,800","7,500",3.5%,N/A,N/A
Piedmont city,"5,100","5,100",100,1.8%,0.006194,0.003569
Pleasanton city,"41,000","40,000","1,100",2.6%,N/A,N/A
San Leandro city,"46,400","44,900","1,500",3.2%,N/A,N/A
San Lorenzo CDP,"12,800","12,300",400,3.2%,0.015128,0.015850
Sunol CDP,500,400,0,2.9%,0.000536,0.000510
Union City city,"36,900","35,700","1,100",3.1%,N/A,N/A
,,,,,,
,,,,,,
Alpine County                                               ,550,520,30,4.6%,1.000000,1.000000
,,,,,,
Alpine Village CDP,90,90,0,0.0%,0.163934,0.000000
Bear Valley CDP,30,30,0,0.0%,0.060109,0.000000
Kirkwood CDP,80,80,0,2.5%,0.147541,0.063291
Markleeville CDP,70,70,0,0.0%,0.136612,0.000000
Mesa Vista CDP,100,80,10,12.6%,0.158470,0.468354
,,,,,,
,,,,,,
Amador County                                               ,"14,670","14,070",600,4.1%,1.000000,1.000000
,,,,,,
Amador City city,80,70,0,5.3%,0.005042,0.006375
Ione city,"2,100","2,020",80,3.9%,0.143728,0.136255
Jackson city,"2,140","2,060",70,3.4%,0.146587,0.119522
Plymouth city,460,450,10,3.0%,0.031680,0.023904
Sutter Creek city,"1,040","1,010",20,2.1%,0.072014,0.035857
,,,,,,
,,,,,,
Orange County                                               ,"1,616,100","1,568,300","47,900",3.0%,1.000000,1.000000
,,,,,,
Aliso Viejo city,"30,400","29,600",800,2.6%,N/A,N/A
Anaheim city,"171,100","165,800","5,300",3.1%,N/A,N/A
Brea city,"23,100","22,500",700,2.9%,N/A,N/A
Buena Park city,"40,200","38,900","1,300",3.2%,N/A,N/A
Costa Mesa city,"65,800","64,100","1,700",2.6%,N/A,N/A
Coto de Caza CDP,"7,600","7,400",200,2.8%,0.004738,0.004501
Cypress city,"25,100","24,300",800,3.2%,N/A,N/A
Dana Point city,"18,700","18,200",500,2.7%,N/A,N/A
Fountain Valley city,"28,300","27,400",900,3.1%,N/A,N/A
Fullerton city,"70,200","68,000","2,100",3.0%,N/A,N/A
Garden Grove city,"81,600","78,900","2,700",3.3%,N/A,N/A
Huntington Beach city,"108,700","105,500","3,200",2.9%,N/A,N/A
Irvine city,"147,700","143,500","4,100",2.8%,N/A,N/A
La Habra city,"30,900","30,000","1,000",3.1%,N/A,N/A
La Palma city,"7,800","7,500",200,2.9%,0.004806,0.004714
Laguna Beach city,"12,600","12,200",400,2.9%,N/A,N/A
Laguna Hills city,"17,000","16,600",500,2.8%,N/A,N/A
Laguna Niguel city,"35,600","34,500","1,000",2.8%,N/A,N/A
Laguna Woods city,"3,200","3,100",100,2.0%,0.001970,0.001291
Lake Forest city,"49,100","47,800","1,300",2.7%,N/A,N/A
Las Flores CDP,"3,100","3,000",0,0.9%,0.001930,0.000604
Los Alamitos city,"5,800","5,700",200,3.1%,0.003606,0.003778
Mission Viejo city,"49,700","48,200","1,500",3.0%,N/A,N/A
Newport Beach city,"45,000","43,800","1,200",2.7%,N/A,N/A
Orange city,"72,200","70,100","2,100",3.0%,N/A,N/A
Placentia city,"25,800","25,000",800,3.0%,N/A,N/A
Rancho Santa Margarita city,"27,700","27,000",800,2.7%,N/A,N/A
Rossmoor CDP,"5,300","5,200",100,2.5%,0.003305,0.002736
San Clemente city,"31,800","30,900",900,2.9%,N/A,N/A
San Juan Capistrano city,"17,200","16,800",500,2.8%,N/A,N/A
Santa Ana city,"157,600","152,900","4,700",3.0%,N/A,N/A
Seal Beach city,"10,000","9,600",300,3.3%,N/A,N/A
Stanton city,"18,500","17,900",600,3.3%,N/A,N/A
Tustin city,"42,600","41,400","1,200",2.8%,N/A,N/A
Villa Park city,"2,500","2,400",100,3.2%,0.001531,0.001670
Westminster city,"41,800","40,400","1,400",3.4%,N/A,N/A
Yorba Linda city,"34,900","34,000","1,000",2.8%,N/A,N/A
,,,,,,
,,,,,,
Kern County                                                 ,"385,700","354,600","31,200",8.1%,1.000000,1.000000
,,,,,,
Arvin city,"8,900","8,200",700,7.6%,0.023171,0.021815
Bakersfield city,"176,400","166,600","9,800",5.6%,N/A,N/A
Bear Valley Springs CDP,"1,800","1,700",100,4.1%,0.004865,0.002330
Bodfish CDP,400,400,0,8.8%,0.000990,0.001075
Boron CDP,800,800,0,5.2%,0.002231,0.001383
Buttonwillow CDP,600,500,0,8.4%,0.001515,0.001587
California City city,"4,500","3,800",700,16.2%,0.010660,0.023377
China Lake Acres CDP,600,500,0,6.9%,0.001526,0.001280
Delano city,"21,800","16,800","5,000",22.9%,N/A,N/A
Derby Acres CDP,100,100,0,1.7%,0.000330,0.000051
Dustin Acres CDP,200,200,0,3.6%,0.000613,0.000256
Edwards AFB CDP,400,400,0,9.2%,0.000999,0.001152
Fellows CDP,0,0,0,11.1%,0.000044,0.000051
Ford City CDP,"1,900","1,700",200,9.1%,0.004750,0.005377
Frazier Park CDP,"1,200","1,100",100,8.8%,0.002967,0.003226
Golden Hills CDP,"4,400","4,200",200,3.9%,0.011951,0.005454
Inyokern CDP,300,300,0,0.0%,0.000796,0.000000
Johannesburg CDP,0,0,0,0.0%,0.000000,0.000000
Keene CDP,200,100,0,8.7%,0.000386,0.000410
Kernville CDP,500,500,0,0.0%,0.001376,0.000000
Lake Isabella CDP,"1,200","1,100",100,11.3%,0.003020,0.004353
Lake of the Woods CDP,300,200,0,8.0%,0.000651,0.000640
Lamont CDP,"6,800","6,300",500,7.4%,0.017841,0.016182
Lebec CDP,900,800,100,14.0%,0.002286,0.004225
Lost Hills CDP,900,900,0,2.9%,0.002454,0.000845
Maricopa city,400,300,0,11.1%,0.000931,0.001306
McFarland city,"5,700","5,200",600,10.3%,0.014532,0.018973
McKittrick CDP,0,0,0,0.0%,0.000127,0.000000
Mettler CDP,100,100,0,16.2%,0.000174,0.000384
Mojave CDP,"1,700","1,400",300,18.4%,0.003898,0.009960
Mountain Mesa CDP,200,200,0,7.3%,0.000468,0.000410
North Edwards CDP,500,400,100,12.4%,0.001140,0.001818
Oildale CDP,"14,800","13,100","1,800",11.9%,0.036893,0.056662
Onyx CDP,200,200,0,0.0%,0.000548,0.000000
Pine Mountain Club CDP,800,800,0,5.6%,0.002127,0.001434
Randsburg CDP,0,0,0,0.0%,0.000062,0.000000
Ridgecrest city,"13,600","13,200",400,3.0%,N/A,N/A
Rosamond CDP,"8,600","7,800",800,9.7%,0.021993,0.026859
