Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
Rosedale CDP,"7,600","7,300",400,4.8%,0.020505,0.011650
Shafter city,"7,500","6,700",900,11.3%,0.018769,0.027345
South Taft CDP,600,500,100,18.8%,0.001279,0.003380
Squirrel Mountain Valley CDP,200,200,0,20.2%,0.000545,0.001562
Stallion Springs CDP,"1,100",900,100,13.2%,0.002575,0.004455
Taft city,"3,000","2,900",200,5.1%,0.008085,0.004942
Taft Heights CDP,"1,000",900,100,7.6%,0.002631,0.002458
Tehachapi city,"3,700","3,500",200,5.4%,0.009962,0.006427
Tupman CDP,100,100,0,18.8%,0.000147,0.000384
Valley Acres CDP,200,200,0,18.3%,0.000566,0.001434
Wasco city,"8,900","7,700","1,200",13.9%,N/A,N/A
Weedpatch CDP,"1,000",900,100,8.9%,0.002578,0.002842
Weldon CDP,900,800,100,11.3%,0.002310,0.003329
Wofford Heights CDP,700,600,100,8.2%,0.001709,0.001741
,,,,,,
,,,,,,
Calaveras County                                            ,"21,170","20,310",860,4.0%,1.000000,1.000000
,,,,,,
Angels city,"1,830","1,830",0,0.1%,0.089868,0.002688
Arnold CDP,"1,120","1,060",60,5.2%,0.052063,0.068100
Avery CDP,300,270,30,8.8%,0.013322,0.030466
Copperopolis CDP,"2,350","2,250",100,4.3%,0.110611,0.119176
Dorrington CDP,80,70,0,5.3%,0.003506,0.004480
Forest Meadows CDP,540,500,40,7.4%,0.024600,0.046595
Mokelumne Hill CDP,220,190,30,11.6%,0.009349,0.028674
Mountain Ranch CDP,530,490,40,7.2%,0.024074,0.043907
Murphys CDP,"1,010",970,40,4.3%,0.047680,0.051971
Rancho Calaveras CDP,"3,570","3,450",130,3.6%,0.169627,0.148746
San Andreas CDP,"1,140","1,120",20,1.7%,0.055335,0.022401
Valley Springs CDP,"2,030","1,970",50,2.7%,0.097055,0.062724
West Point CDP,160,160,0,0.0%,0.007771,0.000000
,,,,,,
,,,,,,
Butte County                                                ,"101,800","96,700","5,200",5.1%,1.000000,1.000000
,,,,,,
Biggs city,900,900,0,2.9%,0.009219,0.005173
Chico city,"48,700","46,800","1,900",3.9%,N/A,N/A
Concow CDP,200,200,0,11.0%,0.002097,0.004843
Durham CDP,"2,900","2,800",100,2.3%,0.029355,0.013209
Gridley city,"2,700","2,600",200,5.7%,0.026383,0.029829
Magalia CDP,"4,900","4,800",200,3.7%,0.049195,0.035113
Oroville city,"6,100","5,800",300,5.3%,0.060153,0.062961
Oroville East CDP,"3,000","2,900",100,3.9%,0.030050,0.022785
Palermo CDP,"2,000","1,800",200,10.0%,0.018576,0.038745
Paradise town,"11,100","10,600",500,4.9%,N/A,N/A
South Oroville CDP,"1,200","1,200",100,4.8%,0.012201,0.011668
Thermalito CDP,"2,300","2,200",200,8.2%,0.022306,0.037534
,,,,,,
,,,,,,
Colusa County                                               ,"10,850","9,410","1,430",13.2%,1.000000,1.000000
,,,,,,
Arbuckle CDP,"2,010","1,670",340,16.9%,0.177585,0.236538
Colusa city,"2,980","2,650",330,11.0%,0.281797,0.228846
Williams city,"2,650","2,420",230,8.7%,0.256753,0.159615
,,,,,,
,,,,,,
Contra Costa County                                         ,"560,300","542,300","18,000",3.2%,1.000000,1.000000
,,,,,,
Alamo CDP,"6,600","6,500",100,1.9%,0.011907,0.006805
Antioch city,"50,700","48,600","2,100",4.2%,N/A,N/A
Bay Point CDP,"11,900","11,200",700,5.7%,0.020697,0.037623
Bethel Island CDP,800,800,0,2.4%,0.001484,0.001097
Brentwood city,"29,400","28,400","1,000",3.4%,N/A,N/A
Byron CDP,600,600,0,6.1%,0.001021,0.001996
Clayton city,"5,900","5,800",100,1.5%,0.010712,0.004808
Clyde CDP,400,400,0,2.5%,0.000650,0.000478
Concord city,"65,800","63,900","1,900",2.9%,N/A,N/A
Crockett CDP,"1,700","1,600",100,4.7%,0.002945,0.004330
Danville town,"20,700","20,100",600,2.8%,N/A,N/A
Diablo CDP,100,100,0,0.0%,0.000130,0.000000
Discovery Bay CDP,"7,800","7,600",200,3.0%,0.014010,0.012850
East Richmond Heights CDP,"1,900","1,900",0,1.5%,0.003492,0.001547
El Cerrito city,"13,900","13,500",400,2.6%,N/A,N/A
El Sobrante CDP,"7,500","7,200",300,4.0%,0.013310,0.016506
Hercules city,"13,900","13,500",400,2.9%,N/A,N/A
Kensington CDP,"2,800","2,800",100,2.0%,0.005114,0.003121
Knightsen CDP,600,600,0,1.8%,0.001091,0.000591
Lafayette city,"12,600","12,300",300,2.5%,N/A,N/A
Martinez city,"20,600","20,000",600,3.0%,N/A,N/A
Moraga town,"7,800","7,600",200,2.0%,0.014017,0.008492
Mountain View CDP,"1,300","1,200",100,6.4%,0.002258,0.004640
Oakley city,"19,900","19,100",700,3.6%,N/A,N/A
Orinda city,"9,000","8,800",200,1.9%,0.016213,0.009195
Pacheco CDP,"2,500","2,400",100,5.6%,0.004390,0.007845
Pinole city,"9,900","9,600",300,3.2%,0.017763,0.017434
Pittsburg city,"34,300","33,000","1,300",3.8%,N/A,N/A
Pleasant Hill city,"18,100","17,600",500,2.9%,N/A,N/A
Port Costa CDP,200,200,0,0.0%,0.000292,0.000000
Richmond city,"52,900","50,900","1,900",3.7%,N/A,N/A
Rodeo CDP,"4,900","4,700",200,3.7%,0.008684,0.010010
Rollingwood CDP,"1,400","1,300",100,4.5%,0.002423,0.003431
San Pablo city,"13,900","13,400",500,3.5%,N/A,N/A
San Ramon city,"39,600","38,600","1,100",2.7%,N/A,N/A
Tara Hills CDP,"2,800","2,700",100,3.3%,0.005003,0.005202
Vine Hill CDP,"1,800","1,800",0,1.8%,0.003236,0.001828
Walnut Creek city,"34,400","33,400","1,000",2.8%,N/A,N/A
,,,,,,
,,,,,,
Del Norte County                                            ,"9,710","9,160",560,5.7%,1.000000,1.000000
,,,,,,
Bertsch Oceanview CDP,750,640,110,14.4%,0.070158,0.194724
Crescent City city,"1,470","1,400",70,4.7%,0.153236,0.124372
Klamath CDP,220,200,20,9.4%,0.022215,0.037688
,,,,,,
,,,,,,
Imperial County                                             ,"71,100","57,800","13,400",18.8%,1.000000,1.000000
,,,,,,
Brawley city,"10,000","8,600","1,500",14.6%,N/A,N/A
Calexico city,"18,400","12,600","5,800",31.6%,N/A,N/A
Calipatria city,"1,200",900,300,23.5%,0.015521,0.020590
El Centro city,"18,400","15,800","2,600",14.1%,N/A,N/A
Heber CDP,"1,900","1,500",400,19.4%,0.026252,0.027268
Holtville city,"2,500","2,000",500,20.5%,0.035064,0.039139
Imperial city,"8,000","6,700","1,300",16.5%,0.115473,0.098497
Westmorland city,900,800,100,16.2%,0.013168,0.011037
,,,,,,
,,,,,,
El Dorado County                                            ,"91,000","87,700","3,300",3.6%,1.000000,1.000000
,,,,,,
Cameron Park CDP,"9,700","9,400",300,3.3%,0.106636,0.097445
Diamond Springs CDP,"5,200","5,000",200,4.7%,0.056738,0.074635
El Dorado Hills CDP,"22,300","21,600",600,2.9%,0.246770,0.193978
Georgetown CDP,"1,200","1,100",100,8.1%,0.012210,0.028467
Placerville city,"5,000","4,900",100,2.8%,0.055582,0.042153
Pollock Pines CDP,"3,000","2,900",100,3.5%,0.033522,0.032664
Shingle Springs CDP,"1,900","1,900",0,0.9%,0.021204,0.004927
South Lake Tahoe city,"12,600","12,000",500,4.1%,0.137353,0.155839
,,,,,,
,,,,,,
Fresno County                                               ,"446,200","412,400","33,800",7.6%,1.000000,1.000000
,,,,,,
Auberry CDP,"1,000","1,000",0,4.5%,0.002354,0.001357
Biola CDP,600,500,100,22.0%,0.001194,0.004119
Calwa CDP,900,800,100,13.9%,0.001847,0.003634
Cantua Creek CDP,100,100,0,6.8%,0.000267,0.000242
Caruthers CDP,"1,200","1,100",100,7.4%,0.002719,0.002641
Clovis city,"54,100","51,900","2,100",4.0%,N/A,N/A
Coalinga city,"6,300","5,800",500,8.0%,0.014111,0.015021
Del Rey CDP,600,500,100,9.7%,0.001317,0.001720
Easton CDP,"1,100","1,000",100,8.0%,0.002351,0.002495
Firebaugh city,"3,700","3,300",500,12.7%,0.007912,0.014052
Fowler city,"2,900","2,800",200,5.7%,0.006680,0.004918
Fresno city,"231,900","218,200","13,700",5.9%,N/A,N/A
Friant CDP,200,200,0,12.8%,0.000480,0.000872
Huron city,"2,500","2,200",300,11.1%,0.005438,0.008310
Kerman city,"6,800","6,300",400,6.5%,0.015321,0.012937
Kingsburg city,"5,600","5,300",300,5.2%,0.012932,0.008673
Lanare CDP,100,100,0,0.0%,0.000145,0.000000
Laton CDP,900,800,100,9.0%,0.002029,0.002471
Mendota city,"4,900","4,100",900,17.5%,0.009846,0.025584
Orange Cove city,"3,700","3,200",400,11.7%,0.007874,0.012695
Parlier city,"6,900","6,300",600,8.2%,0.015251,0.016693
Raisin City CDP,200,200,0,8.2%,0.000380,0.000412
Reedley city,"12,900","10,700","2,200",17.4%,N/A,N/A
Riverdale CDP,"1,400","1,300",0,3.3%,0.003244,0.001357
San Joaquin city,"1,600","1,400",200,12.3%,0.003443,0.005887
Sanger city,"11,500","10,500","1,000",8.6%,N/A,N/A
Selma city,"10,800","10,200",600,5.6%,0.024719,0.018073
Shaver Lake CDP,300,300,0,0.7%,0.000680,0.000073
Squaw Valley CDP,"1,500","1,400",100,6.3%,0.003301,0.002713
Tranquillity CDP,300,300,0,0.0%,0.000680,0.000000
,,,,,,
,,,,,,
Glenn County                                                ,"12,770","11,930",840,6.6%,1.000000,1.000000
,,,,,,
Hamilton City CDP,"1,010",940,70,6.8%,0.078952,0.081886
Orland city,"3,640","3,390",250,6.8%,0.284155,0.292804
Willows city,"2,520","2,320",200,7.9%,0.194197,0.238213
,,,,,,
,,,,,,
Kings County                                                ,"57,500","53,000","4,500",7.9%,1.000000,1.000000
,,,,,,
Armona CDP,"1,400","1,300",100,10.2%,0.023865,0.031926
Avenal city,"3,700","3,200",500,12.4%,0.060808,0.101133
Corcoran city,"4,500","3,800",700,15.5%,N/A,N/A
Hanford city,"24,900","23,300","1,600",6.5%,N/A,N/A
Home Garden CDP,600,500,100,12.9%,0.009527,0.016478
Kettleman City CDP,600,500,100,11.5%,0.010166,0.015448
Lemoore city,"12,100","11,400",700,5.8%,N/A,N/A
Lemoore Station CDP,"1,500","1,400",100,6.0%,0.026063,0.019361
Stratford CDP,300,300,0,10.3%,0.005581,0.007621
,,,,,,
,,,,,,
Humboldt County                                             ,"62,500","60,300","2,300",3.6%,1.000000,1.000000
,,,,,,
Arcata city,"9,600","9,100",500,5.6%,0.150385,0.235405
Blue Lake city,500,500,0,3.5%,0.008201,0.008072
Eureka city,"12,700","12,200",400,3.5%,N/A,N/A
Ferndale city,600,600,0,1.5%,0.009857,0.003754
Fortuna city,"5,200","5,000",200,3.1%,0.083385,0.071522
Hydesville CDP,500,500,0,0.4%,0.008168,0.000939
McKinleyville CDP,"7,500","7,300",200,2.7%,0.121666,0.088417
Redway CDP,700,600,0,3.9%,0.010563,0.011451
Rio Dell city,"1,400","1,300",100,5.0%,0.022306,0.031350
Trinidad city,100,100,0,2.2%,0.002247,0.001502
Willow Creek CDP,600,600,0,0.0%,0.009464,0.000000
,,,,,,
,,,,,,
Inyo County                                                 ,"8,700","8,360",340,3.9%,1.000000,1.000000
,,,,,,
Big Pine CDP,710,670,40,5.2%,0.079975,0.107383
Bishop city,"1,620","1,570",50,3.3%,0.187639,0.158837
Cartago CDP,0,0,0,0.0%,0.000000,0.000000
Darwin CDP,10,10,0,0.0%,0.000742,0.000000
Dixon Lane Meadow Creek CDP,"1,240","1,180",50,4.4%,0.141286,0.158837
Furnace Creek CDP,120,120,0,0.9%,0.013844,0.002237
Independence CDP,220,220,10,2.3%,0.025711,0.015660
Keeler CDP,10,10,0,0.0%,0.000618,0.000000
Lone Pine CDP,850,810,40,4.2%,0.097033,0.105145
Mesa CDP,160,150,10,4.3%,0.018418,0.020134
Olancha CDP,170,160,10,6.6%,0.018541,0.031320
Round Valley CDP,230,230,0,0.0%,0.027194,0.000000
Shoshone CDP,10,10,0,0.0%,0.001360,0.000000
Tecopa CDP,40,30,10,34.2%,0.002967,0.038031
West Bishop CDP,"1,320","1,290",40,2.6%,0.154017,0.102908
Wilkerson CDP,250,240,10,4.3%,0.028925,0.033557
,,,,,,
,,,,,,
Lake County                                                 ,"29,070","27,530","1,540",5.3%,1.000000,1.000000
,,,,,,
Clearlake city,"6,110","5,490",620,10.1%,0.199500,0.400626
Clearlake Oaks CDP,790,730,60,7.5%,0.026538,0.038341
Cobb CDP,510,490,20,3.5%,0.017932,0.011737
Hidden Valley Lake CDP,"3,130","3,070",50,1.6%,0.111662,0.032864
Kelseyville CDP,"1,490","1,430",50,3.5%,0.052101,0.033646
Lakeport city,"2,530","2,460",70,2.8%,0.089279,0.046948
Lower Lake CDP,690,660,30,4.8%,0.023994,0.021518
Lucerne CDP,"1,310","1,280",40,2.8%,0.046335,0.024257
Middletown CDP,350,330,20,6.8%,0.011870,0.015649
Nice CDP,980,950,30,3.4%,0.034550,0.021127
North Lakeport CDP,"1,490","1,470",30,1.9%,0.053203,0.019171
Upper Lake CDP,530,500,30,5.3%,0.018144,0.018388
,,,,,,
,,,,,,
Lassen County                                               ,"9,850","9,380",480,4.8%,1.000000,1.000000
,,,,,,
Susanville city,"3,100","2,960",140,4.6%,0.315316,0.301754
Westwood CDP,610,600,10,1.3%,0.063609,0.017544
,,,,,,
,,,,,,
Los Angeles County,"5,119,800","4,882,300","237,500",4.6%,1.000000,1.000000
,,,,,,
Acton CDP,"3,600","3,500",100,3.5%,0.000719,0.000532
Agoura Hills city,"11,600","11,100",500,4.2%,N/A,N/A
Alhambra city,"46,600","44,700","1,800",4.0%,N/A,N/A
Alondra Park CDP,"4,100","3,800",300,6.5%,0.000786,0.001117
Altadena CDP,"23,900","23,100",800,3.5%,0.004727,0.003472
Arcadia city,"29,900","28,900","1,000",3.5%,N/A,N/A
Artesia city,"8,000","7,700",300,3.8%,0.001581,0.001277
Avalon city,"2,100","2,100",0,0.4%,0.000429,0.000036
Avocado Heights CDP,"7,400","7,000",400,5.7%,0.001436,0.001789
Azusa city,"25,300","24,200","1,100",4.4%,N/A,N/A
Baldwin Park city,"34,700","33,000","1,700",4.9%,N/A,N/A
Bell city,"15,200","14,500",800,5.0%,N/A,N/A
Bell Gardens city,"18,200","17,300",800,4.7%,N/A,N/A
Bellflower city,"36,600","34,700","1,900",5.2%,N/A,N/A
Beverly Hills city,"18,400","17,700",700,4.0%,N/A,N/A
Bradbury city,500,500,0,1.5%,0.000093,0.000028
Burbank city,"59,400","56,300","3,100",5.3%,N/A,N/A
Calabasas city,"12,300","11,900",300,2.8%,0.002438,0.001467
Carson city,"46,200","44,000","2,300",4.9%,N/A,N/A
Cerritos city,"25,500","24,500","1,000",3.9%,N/A,N/A
Charter Oak CDP,"5,000","4,700",300,5.6%,0.000965,0.001176
Citrus CDP,"5,400","5,200",200,3.2%,0.001070,0.000731
Claremont city,"17,300","16,600",700,4.2%,N/A,N/A
Commerce city,"5,900","5,600",300,5.6%,0.001145,0.001386
Compton city,"39,300","36,800","2,500",6.3%,N/A,N/A
Covina city,"24,100","22,900","1,200",4.9%,N/A,N/A
Cudahy city,"10,100","9,600",500,4.7%,N/A,N/A
Culver City city,"23,100","22,100","1,000",4.4%,N/A,N/A
Del Aire CDP,"5,500","5,300",200,3.7%,0.001084,0.000865
Desert View Highlands CDP,"1,100","1,000",100,7.3%,0.000202,0.000330
Diamond Bar city,"30,400","29,300","1,100",3.7%,N/A,N/A
Downey city,"57,600","55,000","2,600",4.5%,N/A,N/A
Duarte city,"11,100","10,500",600,5.6%,0.002146,0.002618
East Los Angeles CDP,"56,100","51,800","4,300",7.6%,0.010605,0.017997
East Pasadena CDP,"3,100","3,100",100,1.9%,0.000625,0.000249
East San Gabriel CDP,"7,700","7,500",100,1.8%,0.001541,0.000568
El Monte city,"52,000","49,600","2,400",4.6%,N/A,N/A
El Segundo city,"9,500","9,000",500,5.4%,0.001847,0.002181
Florence Graham CDP,"27,800","26,100","1,700",6.2%,0.005346,0.007318
Gardena city,"30,400","29,000","1,400",4.7%,N/A,N/A
Glendale city,"104,000","99,400","4,600",4.4%,N/A,N/A
Glendora city,"26,200","25,100","1,100",4.3%,N/A,N/A
Hacienda Heights CDP,"26,300","25,300","1,000",3.7%,0.005190,0.004046
Hawaiian Gardens city,"6,400","6,100",300,4.9%,0.001246,0.001316
Hawthorne city,"45,000","42,800","2,100",4.8%,N/A,N/A
Hermosa Beach city,"12,600","12,300",300,2.2%,0.002524,0.001176
Hidden Hills city,600,600,0,3.8%,0.000125,0.000101
Huntington Park city,"26,600","25,400","1,200",4.6%,N/A,N/A
Industry city,200,100,0,5.2%,0.000030,0.000034
Inglewood city,"52,900","50,000","2,900",5.5%,N/A,N/A
Irwindale city,700,600,0,6.9%,0.000127,0.000193
La Canada Flintridge city,"9,600","9,300",200,2.1%,0.001915,0.000860
La Crescenta Montrose CDP,"9,900","9,600",300,3.3%,0.001970,0.001380
La Habra Heights city,"2,700","2,600",100,3.8%,0.000524,0.000423
La Mirada city,"24,400","23,300","1,100",4.4%,N/A,N/A
La Puente city,"19,100","18,200",900,4.8%,N/A,N/A
La Verne city,"16,100","15,400",700,4.4%,N/A,N/A
Ladera Heights CDP,"3,500","3,300",200,5.7%,0.000680,0.000843
Lake Los Angeles CDP,"3,700","3,400",300,8.8%,0.000688,0.001372
Lakewood city,"43,100","41,200","1,900",4.4%,N/A,N/A
Lancaster city,"65,200","60,900","4,300",6.6%,N/A,N/A
Lawndale city,"16,700","15,900",700,4.3%,N/A,N/A
Lennox CDP,"10,900","10,400",500,4.8%,0.002129,0.002223
Littlerock CDP,600,600,100,10.0%,0.000116,0.000263
Lomita city,"11,200","10,800",500,4.2%,0.002207,0.001965
Long Beach city,"239,700","228,300","11,400",4.7%,N/A,N/A
Los Angeles city,"2,080,400","1,983,600","96,800",4.7%,N/A,N/A
Lynwood city,"28,600","27,100","1,600",5.5%,N/A,N/A
Malibu city,"6,600","6,400",200,2.9%,0.001313,0.000804
Manhattan Beach city,"19,800","19,200",700,3.4%,N/A,N/A
Marina del Rey CDP,"7,000","6,800",200,2.8%,0.001393,0.000829
Mayflower Village CDP,"3,100","3,000",100,3.0%,0.000607,0.000389
Maywood city,"12,400","11,900",500,4.4%,N/A,N/A
Monrovia city,"21,000","20,200",800,3.9%,N/A,N/A
Montebello city,"29,100","27,600","1,500",5.0%,N/A,N/A
Monterey Park city,"29,500","28,300","1,200",4.2%,N/A,N/A
North El Monte CDP,"1,700","1,700",0,2.3%,0.000350,0.000174
Norwalk city,"50,500","48,200","2,300",4.6%,N/A,N/A
Palmdale city,"64,700","60,600","4,100",6.3%,N/A,N/A
Palos Verdes Estates city,"5,700","5,500",100,2.2%,0.001135,0.000535
Paramount city,"24,800","23,500","1,300",5.1%,N/A,N/A
Pasadena city,"79,300","76,100","3,100",4.0%,N/A,N/A
Pico Rivera city,"30,500","28,900","1,600",5.2%,N/A,N/A
Pomona city,"68,300","64,900","3,400",5.0%,N/A,N/A
Quartz Hill CDP,"4,200","4,000",200,4.7%,0.000829,0.000840
Rancho Palos Verdes city,"19,700","19,000",700,3.8%,N/A,N/A
Redondo Beach city,"41,500","39,900","1,600",3.8%,N/A,N/A
Rolling Hills city,600,500,0,4.2%,0.000112,0.000101
Rolling Hills Estates city,"3,500","3,400",100,3.5%,0.000694,0.000512
Rosemead city,"25,300","24,300","1,100",4.3%,N/A,N/A
Rowland Heights CDP,"25,100","24,300",800,3.3%,0.004975,0.003491
San Dimas city,"18,000","17,200",800,4.2%,N/A,N/A
San Fernando city,"11,800","11,300",500,4.4%,0.002321,0.002187
San Gabriel city,"21,600","20,800",800,3.7%,N/A,N/A
San Marino city,"5,600","5,500",100,2.4%,0.001124,0.000574
Santa Clarita city,"113,500","108,500","4,900",4.4%,N/A,N/A
Santa Fe Springs city,"8,200","8,000",200,2.7%,0.001635,0.000949
Santa Monica city,"56,600","54,100","2,500",4.4%,N/A,N/A
Sierra Madre city,"5,700","5,400",300,4.7%,0.001105,0.001114
Signal Hill city,"6,400","6,100",300,4.3%,0.001255,0.001159
South El Monte city,"9,400","9,000",400,4.5%,0.001841,0.001783
South Gate city,"42,800","40,700","2,100",4.9%,N/A,N/A
