Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
Kernville CDP,300,300,0,0.9%,0.000975,0.000057
Lake Isabella CDP,"1,200","1,000",200,18.1%,0.002852,0.004276
Lake of the Woods CDP,200,200,0,12.8%,0.000608,0.000603
Lamont CDP,"6,700","6,000",800,11.3%,0.017723,0.015382
Lebec CDP,700,500,200,29.8%,0.001537,0.004419
Lost Hills CDP,700,700,0,5.1%,0.002082,0.000775
Maricopa city,800,700,100,16.0%,0.002073,0.002669
McFarland city,"5,300","4,200","1,100",20.7%,0.012342,0.021953
McKittrick CDP,0,0,0,6.1%,0.000136,0.000057
Mettler CDP,100,100,0,4.5%,0.000187,0.000057
Mojave CDP,"1,600","1,300",300,16.1%,0.003893,0.005079
Mountain Mesa CDP,200,200,0,20.2%,0.000444,0.000775
North Edwards CDP,500,400,100,22.9%,0.001223,0.002468
Oildale CDP,"16,200","13,100","3,200",19.5%,0.038713,0.063564
Onyx CDP,100,100,0,0.0%,0.000418,0.000000
Pine Mountain Club CDP,700,700,0,6.4%,0.002053,0.000947
Randsburg CDP,0,0,0,0.0%,0.000023,0.000000
Ridgecrest city,"13,300","12,600",700,5.2%,N/A,N/A
Rosamond CDP,"8,900","7,300","1,600",17.9%,0.021578,0.031968
Rosedale CDP,"9,400","8,700",700,7.2%,0.025834,0.013717
Shafter city,"7,800","6,800","1,000",12.7%,0.020087,0.019801
South Taft CDP,"1,000",700,300,32.5%,0.001932,0.006313
Squirrel Mountain Valley CDP,300,200,100,22.5%,0.000614,0.001205
Stallion Springs CDP,900,900,100,8.0%,0.002538,0.001492
Taft city,"2,900","2,700",200,7.9%,0.007898,0.004620
Taft Heights CDP,700,600,100,15.8%,0.001753,0.002238
Tehachapi city,"3,200","2,800",500,14.9%,0.008175,0.009728
Tupman CDP,100,100,0,0.0%,0.000156,0.000000
Valley Acres CDP,300,200,100,35.0%,0.000539,0.001980
Wasco city,"8,900","7,500","1,400",15.9%,N/A,N/A
Weedpatch CDP,"1,200",800,300,29.1%,0.002442,0.006801
Weldon CDP,900,800,100,11.6%,0.002474,0.002210
Wofford Heights CDP,500,400,100,12.2%,0.001234,0.001177
,,,,,,
,,,,,,
Calaveras County                                            ,"21,400","19,730","1,670",7.8%,1.000000,1.000000
,,,,,,
Angels city,"1,830","1,750",90,4.8%,0.088450,0.052687
Arnold CDP,930,770,150,16.5%,0.039157,0.091675
Avery CDP,310,280,30,9.2%,0.014076,0.016860
Copperopolis CDP,"1,840","1,610",230,12.4%,0.081673,0.135933
Dorrington CDP,150,140,10,5.9%,0.007241,0.005269
Forest Meadows CDP,520,450,70,12.6%,0.022938,0.038988
Mokelumne Hill CDP,160,160,0,0.0%,0.007878,0.000000
Mountain Ranch CDP,30,30,0,0.0%,0.001332,0.000000
Murphys CDP,940,900,30,3.5%,0.045760,0.020021
Rancho Calaveras CDP,"3,280","3,120",160,4.9%,0.158248,0.095890
San Andreas CDP,"1,200","1,200",0,0.0%,0.060762,0.000000
Valley Springs CDP,"2,270","2,140",130,5.8%,0.108318,0.079031
West Point CDP,270,270,0,0.0%,0.013496,0.000000
,,,,,,
,,,,,,
Butte County                                                ,"93,400","84,700","8,800",9.4%,1.000000,1.000000
,,,,,,
Biggs city,"1,100",900,200,14.1%,0.010879,0.017302
Chico city,"52,500","48,300","4,200",7.9%,N/A,N/A
Concow CDP,200,100,0,21.2%,0.001457,0.003773
