Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
Oakley city,"20,000","19,300",700,3.6%,N/A,N/A
Orinda city,"9,200","9,000",200,2.2%,0.016608,0.011723
Pacheco CDP,"2,300","2,300",100,3.2%,0.004182,0.004269
Pinole city,"10,200","9,800",300,3.1%,0.018103,0.018126
Pittsburg city,"34,300","33,100","1,300",3.7%,N/A,N/A
Pleasant Hill city,"18,000","17,500",500,2.7%,N/A,N/A
Port Costa CDP,100,100,0,0.0%,0.000270,0.000000
Richmond city,"53,000","51,100","1,900",3.5%,N/A,N/A
Rodeo CDP,"4,900","4,600",200,5.0%,0.008533,0.013857
Rollingwood CDP,"1,600","1,600",100,4.1%,0.002864,0.003823
San Pablo city,"13,800","13,300",500,3.5%,N/A,N/A
San Ramon city,"39,600","38,600","1,000",2.5%,N/A,N/A
Tara Hills CDP,"2,700","2,600",0,1.5%,0.004822,0.002294
Vine Hill CDP,"1,900","1,800",0,2.3%,0.003370,0.002485
Walnut Creek city,"34,500","33,600",900,2.6%,N/A,N/A
,,,,,,
,,,,,,
Del Norte County                                            ,"9,640","9,080",560,5.8%,1.000000,1.000000
,,,,,,
Bertsch Oceanview CDP,740,630,120,16.0%,0.068885,0.213049
Crescent City city,"1,540","1,460",80,5.2%,0.160399,0.142477
Klamath CDP,240,210,30,12.7%,0.022740,0.053262
,,,,,,
,,,,,,
Imperial County                                             ,"73,600","58,400","15,200",20.7%,1.000000,1.000000
,,,,,,
Brawley city,"10,200","8,700","1,400",14.3%,N/A,N/A
Calexico city,"20,800","12,700","8,100",38.9%,N/A,N/A
Calipatria city,"1,300",900,400,28.8%,0.015781,0.024486
El Centro city,"18,400","16,000","2,500",13.3%,N/A,N/A
Heber CDP,"1,500","1,300",200,10.9%,0.022622,0.010580
Holtville city,"2,600","1,900",700,25.5%,0.033309,0.043531
Imperial city,"8,000","6,700","1,300",16.6%,0.114742,0.087666
Westmorland city,900,700,200,21.0%,0.012535,0.012797
,,,,,,
,,,,,,
El Dorado County                                            ,"92,300","89,100","3,300",3.5%,1.000000,1.000000
,,,,,,
Cameron Park CDP,"9,100","8,900",300,3.0%,0.099541,0.082571
Diamond Springs CDP,"5,200","5,000",200,3.1%,0.056451,0.048810
El Dorado Hills CDP,"23,100","22,500",600,2.8%,0.252218,0.195241
Georgetown CDP,"1,100","1,000",100,10.3%,0.011175,0.034777
Placerville city,"5,000","4,900",200,3.0%,0.054841,0.046776
Pollock Pines CDP,"3,300","3,200",100,3.4%,0.035522,0.033760
Shingle Springs CDP,"1,900","1,800",0,1.0%,0.020658,0.005491
South Lake Tahoe city,"13,000","12,300",600,4.8%,0.138659,0.188326
,,,,,,
,,,,,,
Fresno County                                               ,"451,300","418,400","32,900",7.3%,1.000000,1.000000
,,,,,,
Auberry CDP,900,800,0,3.1%,0.002000,0.000823
Biola CDP,800,700,200,19.6%,0.001624,0.005042
Calwa CDP,900,800,100,14.8%,0.001882,0.004167
Cantua Creek CDP,100,100,0,0.0%,0.000285,0.000000
Caruthers CDP,"1,000",900,100,8.7%,0.002260,0.002727
Clovis city,"55,700","53,600","2,100",3.8%,N/A,N/A
Coalinga city,"6,200","5,800",400,6.5%,0.013835,0.012244
Del Rey CDP,500,500,0,9.1%,0.001151,0.001466
Easton CDP,"1,000",900,100,5.1%,0.002209,0.001518
Firebaugh city,"3,500","2,800",700,20.4%,0.006751,0.021993
Fowler city,"3,000","2,800",100,5.0%,0.006699,0.004501
Fresno city,"234,500","221,000","13,500",5.8%,N/A,N/A
Friant CDP,300,200,0,11.0%,0.000562,0.000875
Huron city,"2,600","2,300",300,12.1%,0.005521,0.009698
Kerman city,"6,700","6,200",500,6.9%,0.014834,0.014045
Kingsburg city,"5,400","5,200",300,4.7%,0.012378,0.007845
Lanare CDP,100,100,0,25.0%,0.000130,0.000540
Laton CDP,800,800,100,7.7%,0.001833,0.001955
Mendota city,"5,100","4,200",800,16.4%,0.010118,0.025260
Orange Cove city,"4,000","3,500",500,12.5%,0.008380,0.015151
Parlier city,"7,000","6,600",400,5.6%,0.015860,0.012013
Raisin City CDP,200,200,0,14.0%,0.000383,0.000797
Reedley city,"12,900","10,800","2,100",16.3%,N/A,N/A
Riverdale CDP,"1,300","1,300",0,3.1%,0.003124,0.001286
San Joaquin city,"1,600","1,400",200,10.8%,0.003352,0.005145
Sanger city,"11,600","10,700","1,000",8.4%,N/A,N/A
Selma city,"10,700","10,000",600,5.8%,0.024004,0.018958
Shaver Lake CDP,200,200,0,0.9%,0.000545,0.000051
Squaw Valley CDP,"1,500","1,400",100,6.3%,0.003318,0.002855
Tranquillity CDP,300,300,0,11.8%,0.000623,0.001055
,,,,,,
,,,,,,
Glenn County                                                ,"13,010","12,210",800,6.2%,1.000000,1.000000
,,,,,,
Hamilton City CDP,970,890,70,7.6%,0.073056,0.091339
Orland city,"3,520","3,280",240,6.7%,0.269084,0.294488
Willows city,"2,530","2,320",220,8.6%,0.189644,0.272441
,,,,,,
,,,,,,
Kings County                                                ,"57,900","53,300","4,600",7.9%,1.000000,1.000000
,,,,,,
Armona CDP,"1,700","1,500",100,7.9%,0.028764,0.028692
Avenal city,"3,800","3,300",500,12.9%,0.062123,0.106984
Corcoran city,"4,500","3,800",700,15.5%,N/A,N/A
Hanford city,"25,200","23,500","1,700",6.7%,N/A,N/A
Home Garden CDP,600,500,100,10.6%,0.009631,0.013345
Kettleman City CDP,500,500,0,8.6%,0.009355,0.010231
Lemoore city,"12,200","11,500",700,5.6%,N/A,N/A
Lemoore Station CDP,"1,200","1,200",100,4.6%,0.022239,0.012456
Stratford CDP,300,300,0,9.4%,0.005624,0.006673
,,,,,,
,,,,,,
Humboldt County                                             ,"62,200","60,000","2,300",3.6%,1.000000,1.000000
,,,,,,
Arcata city,"9,600","9,000",500,5.6%,0.150621,0.236436
Blue Lake city,500,500,0,2.0%,0.008157,0.004569
Eureka city,"12,600","12,100",400,3.5%,N/A,N/A
Ferndale city,600,600,0,2.8%,0.009383,0.006853
Fortuna city,"5,200","5,000",200,3.4%,0.083508,0.078241
Hydesville CDP,500,500,0,0.6%,0.008448,0.001142
McKinleyville CDP,"7,800","7,500",200,3.2%,0.125133,0.108509
Redway CDP,700,700,0,4.1%,0.011204,0.012755
Rio Dell city,"1,400","1,300",100,6.5%,0.022183,0.040548
Trinidad city,200,200,0,2.6%,0.002499,0.001904
Willow Creek CDP,600,600,0,0.0%,0.009318,0.000000
,,,,,,
,,,,,,
Inyo County                                                 ,"8,770","8,460",310,3.6%,1.000000,1.000000
,,,,,,
Big Pine CDP,710,690,20,2.7%,0.081088,0.061972
Bishop city,"1,920","1,860",60,3.3%,0.219592,0.200000
Cartago CDP,10,10,0,0.0%,0.000607,0.000000
Darwin CDP,0,0,0,0.0%,0.000000,0.000000
Dixon Lane Meadow Creek CDP,"1,220","1,160",60,4.5%,0.137533,0.174648
Furnace Creek CDP,100,90,0,4.1%,0.011168,0.014085
Independence CDP,250,250,0,1.6%,0.029497,0.014085
Keeler CDP,10,10,0,0.0%,0.000607,0.000000
Lone Pine CDP,740,710,30,4.6%,0.083394,0.109859
Mesa CDP,180,170,10,4.0%,0.020029,0.022535
Olancha CDP,170,170,0,0.0%,0.019908,0.000000
Round Valley CDP,200,200,0,0.0%,0.023064,0.000000
Shoshone CDP,10,10,0,0.0%,0.001699,0.000000
Tecopa CDP,30,30,10,20.6%,0.003156,0.022535
West Bishop CDP,"1,260","1,250",20,1.3%,0.147366,0.050704
Wilkerson CDP,280,260,20,6.1%,0.030711,0.053521
,,,,,,
,,,,,,
Lake County                                                 ,"29,060","27,580","1,490",5.1%,1.000000,1.000000
,,,,,,
Clearlake city,"5,960","5,290",670,11.3%,0.191861,0.452514
Clearlake Oaks CDP,870,830,50,5.2%,0.029913,0.030511
Cobb CDP,570,550,20,3.5%,0.019956,0.013322
Hidden Valley Lake CDP,"2,910","2,880",30,1.1%,0.104427,0.021917
Kelseyville CDP,"1,630","1,490",140,8.6%,0.054065,0.094542
Lakeport city,"2,540","2,460",80,3.2%,0.089162,0.053717
Lower Lake CDP,480,450,30,5.9%,0.016211,0.018908
Lucerne CDP,"1,350","1,320",30,2.3%,0.047976,0.020627
Middletown CDP,350,330,20,5.4%,0.012014,0.012462
Nice CDP,"1,090","1,080",20,1.4%,0.039047,0.009884
North Lakeport CDP,"1,510","1,490",20,1.3%,0.054189,0.012462
Upper Lake CDP,470,440,40,7.6%,0.015841,0.024495
,,,,,,
,,,,,,
Lassen County                                               ,"9,740","9,280",450,4.7%,1.000000,1.000000
,,,,,,
Susanville city,"3,250","3,130",120,3.6%,0.337359,0.255853
Westwood CDP,690,680,10,1.7%,0.073511,0.026756
,,,,,,
,,,,,,
Los Angeles County,"5,151,500","4,920,800","230,700",4.5%,1.000000,1.000000
,,,,,,
Acton CDP,"3,600","3,400",100,3.8%,0.000695,0.000582
Agoura Hills city,"11,600","11,100",500,3.9%,N/A,N/A
Alhambra city,"46,700","44,900","1,800",3.8%,N/A,N/A
Alondra Park CDP,"4,400","4,200",200,3.9%,0.000851,0.000736
Altadena CDP,"23,400","22,400","1,000",4.1%,0.004562,0.004145
Arcadia city,"30,000","29,000","1,000",3.4%,N/A,N/A
Artesia city,"8,100","7,800",300,4.0%,0.001581,0.001396
Avalon city,"2,200","2,200",0,0.0%,0.000438,0.000003
Avocado Heights CDP,"7,500","7,000",400,6.0%,0.001425,0.001947
Azusa city,"25,600","24,600","1,100",4.2%,N/A,N/A
Baldwin Park city,"34,900","33,300","1,600",4.7%,N/A,N/A
Bell city,"15,300","14,600",700,4.7%,N/A,N/A
Bell Gardens city,"18,200","17,400",800,4.5%,N/A,N/A
Bellflower city,"36,700","34,900","1,800",5.0%,N/A,N/A
Beverly Hills city,"18,500","17,700",800,4.1%,N/A,N/A
Bradbury city,400,400,0,1.7%,0.000085,0.000028
Burbank city,"59,400","56,400","3,000",5.1%,N/A,N/A
Calabasas city,"12,500","12,100",400,3.0%,0.002469,0.001615
Carson city,"46,600","44,400","2,300",4.9%,N/A,N/A
Cerritos city,"25,500","24,600",900,3.7%,N/A,N/A
Charter Oak CDP,"5,200","4,900",300,6.1%,0.000999,0.001381
Citrus CDP,"5,200","5,000",200,3.9%,0.001011,0.000883
Claremont city,"17,400","16,700",700,4.0%,N/A,N/A
Commerce city,"5,900","5,600",300,4.5%,0.001143,0.001140
Compton city,"39,400","37,000","2,400",6.1%,N/A,N/A
Covina city,"24,200","23,000","1,100",4.7%,N/A,N/A
Cudahy city,"10,100","9,700",400,4.4%,N/A,N/A
Culver City city,"23,400","22,400","1,000",4.2%,N/A,N/A
Del Aire CDP,"5,300","5,200",100,2.6%,0.001055,0.000595
Desert View Highlands CDP,"1,400","1,300",100,4.5%,0.000267,0.000269
Diamond Bar city,"30,600","29,500","1,100",3.6%,N/A,N/A
Downey city,"57,700","55,300","2,400",4.1%,N/A,N/A
Duarte city,"11,300","10,700",600,5.1%,0.002184,0.002492
East Los Angeles CDP,"57,000","53,100","3,800",6.7%,0.010800,0.016595
East Pasadena CDP,"3,100","3,000",100,1.7%,0.000613,0.000225
East San Gabriel CDP,"7,700","7,500",200,2.2%,0.001526,0.000714
El Monte city,"52,500","50,200","2,200",4.2%,N/A,N/A
El Segundo city,"9,800","9,300",500,4.8%,0.001889,0.002016
Florence Graham CDP,"29,100","27,200","1,800",6.2%,0.005537,0.007851
Gardena city,"30,600","29,200","1,400",4.6%,N/A,N/A
Glendale city,"104,100","99,800","4,300",4.1%,N/A,N/A
Glendora city,"26,300","25,300","1,000",4.0%,N/A,N/A
Hacienda Heights CDP,"26,900","25,900",900,3.5%,0.005266,0.004092
Hawaiian Gardens city,"6,600","6,300",300,4.2%,0.001275,0.001199
Hawthorne city,"45,000","43,000","2,000",4.4%,N/A,N/A
Hermosa Beach city,"12,300","12,000",400,3.0%,0.002433,0.001584
Hidden Hills city,700,700,0,5.4%,0.000143,0.000175
Huntington Park city,"26,700","25,500","1,200",4.5%,N/A,N/A
Industry city,200,200,0,5.6%,0.000034,0.000044
Inglewood city,"52,900","50,100","2,800",5.4%,N/A,N/A
Irwindale city,700,700,0,5.7%,0.000134,0.000172
La Canada Flintridge city,"9,300","9,100",200,2.3%,0.001839,0.000911
La Crescenta Montrose CDP,"9,700","9,400",300,3.6%,0.001909,0.001506
La Habra Heights city,"3,300","3,200",100,3.0%,0.000657,0.000435
La Mirada city,"24,400","23,400","1,000",4.1%,N/A,N/A
La Puente city,"19,200","18,300",900,4.5%,N/A,N/A
La Verne city,"16,200","15,500",700,4.2%,N/A,N/A
Ladera Heights CDP,"3,500","3,300",200,6.4%,0.000673,0.000986
Lake Los Angeles CDP,"3,600","3,300",300,7.5%,0.000679,0.001165
Lakewood city,"43,200","41,400","1,800",4.1%,N/A,N/A
Lancaster city,"65,500","61,300","4,300",6.5%,N/A,N/A
Lawndale city,"16,700","16,000",700,4.2%,N/A,N/A
Lennox CDP,"11,100","10,700",500,4.3%,0.002168,0.002066
Littlerock CDP,400,400,0,7.7%,0.000073,0.000131
Lomita city,"10,900","10,700",300,2.4%,0.002167,0.001114
Long Beach city,"240,400","229,300","11,100",4.6%,N/A,N/A
Los Angeles city,"2,101,400","2,007,000","94,500",4.5%,N/A,N/A
Lynwood city,"28,700","27,200","1,500",5.1%,N/A,N/A
Malibu city,"6,400","6,200",200,2.6%,0.001270,0.000711
Manhattan Beach city,"19,900","19,300",700,3.3%,N/A,N/A
Marina del Rey CDP,"7,100","6,900",100,2.0%,0.001404,0.000626
Mayflower Village CDP,"3,100","3,000",100,3.2%,0.000603,0.000419
Maywood city,"12,400","11,900",500,4.2%,N/A,N/A
Monrovia city,"21,000","20,200",800,3.7%,N/A,N/A
Montebello city,"29,100","27,700","1,400",4.9%,N/A,N/A
Monterey Park city,"29,600","28,300","1,200",4.1%,N/A,N/A
North El Monte CDP,"1,800","1,800",0,1.8%,0.000361,0.000141
Norwalk city,"50,700","48,400","2,300",4.5%,N/A,N/A
Palmdale city,"64,800","60,800","4,000",6.2%,N/A,N/A
Palos Verdes Estates city,"5,700","5,600",100,1.7%,0.001136,0.000410
Paramount city,"24,900","23,600","1,200",4.9%,N/A,N/A
Pasadena city,"80,200","77,000","3,100",3.9%,N/A,N/A
Pico Rivera city,"30,500","29,000","1,500",4.9%,N/A,N/A
Pomona city,"68,900","65,500","3,400",4.9%,N/A,N/A
Quartz Hill CDP,"4,300","4,100",200,3.8%,0.000841,0.000711
Rancho Palos Verdes city,"19,800","19,100",700,3.6%,N/A,N/A
Redondo Beach city,"41,600","40,100","1,500",3.6%,N/A,N/A
Rolling Hills city,600,600,0,3.9%,0.000114,0.000100
Rolling Hills Estates city,"3,500","3,400",100,3.7%,0.000691,0.000557
Rosemead city,"25,500","24,500","1,100",4.2%,N/A,N/A
Rowland Heights CDP,"25,200","24,100","1,100",4.3%,0.004899,0.004715
San Dimas city,"18,000","17,300",700,4.1%,N/A,N/A
San Fernando city,"11,900","11,600",400,3.0%,0.002349,0.001534
San Gabriel city,"21,600","20,800",800,3.6%,N/A,N/A
San Marino city,"5,900","5,800",100,1.3%,0.001184,0.000341
Santa Clarita city,"116,400","111,600","4,800",4.1%,N/A,N/A
Santa Fe Springs city,"8,500","8,300",200,2.6%,0.001688,0.000961
Santa Monica city,"56,700","54,300","2,500",4.3%,N/A,N/A
Sierra Madre city,"5,700","5,400",300,5.2%,0.001094,0.001274
Signal Hill city,"6,200","5,900",200,3.8%,0.001202,0.001014
South El Monte city,"9,300","8,900",400,4.3%,0.001811,0.001725
South Gate city,"42,900","40,900","2,000",4.7%,N/A,N/A
South Pasadena city,"15,000","14,400",600,3.8%,N/A,N/A
