Area Name,Labor Force,Employment,Unemployment Number,Unemployment Rate,Census Ratios Emp,Census Ratios Unemp
,,,,,,
Alameda County                                              ,"843,000","818,000","25,100",3.0%,1.000000,1.000000
,,,,,,
Alameda city,"40,800","39,700","1,100",2.7%,N/A,N/A
Albany city,"9,800","9,600",200,2.3%,0.011726,0.008820
Ashland CDP,"12,100","11,500",600,4.7%,0.014083,0.022840
Berkeley city,"62,400","60,600","1,800",2.8%,N/A,N/A
Castro Valley CDP,"31,500","30,600",900,2.7%,0.037435,0.034032
Cherryland CDP,"7,300","7,000",400,4.9%,0.008500,0.014404
Dublin city,"33,100","32,300",800,2.5%,N/A,N/A
Emeryville city,"7,600","7,500",100,1.6%,0.009143,0.004817
Fairview CDP,"5,700","5,600",100,1.3%,0.006836,0.002852
Fremont city,"121,800","118,700","3,100",2.5%,N/A,N/A
Hayward city,"77,500","74,900","2,500",3.3%,N/A,N/A
Livermore city,"48,200","47,000","1,200",2.5%,N/A,N/A
Newark city,"25,600","24,900",700,2.7%,N/A,N/A
Oakland city,"216,000","208,700","7,300",3.4%,N/A,N/A
Piedmont city,"5,300","5,100",100,2.5%,0.006295,0.005321
Pleasanton city,"40,700","39,700","1,000",2.6%,N/A,N/A
San Leandro city,"45,900","44,400","1,500",3.2%,N/A,N/A
San Lorenzo CDP,"12,600","12,200",400,3.0%,0.014966,0.015291
Sunol CDP,400,400,0,3.0%,0.000479,0.000479
Union City city,"36,600","35,500","1,100",3.0%,N/A,N/A
,,,,,,
,,,,,,
Alpine County                                               ,540,510,30,5.2%,1.000000,1.000000
,,,,,,
Alpine Village CDP,80,80,0,0.0%,0.163265,0.000000
Bear Valley CDP,40,40,0,0.0%,0.078717,0.000000
Kirkwood CDP,80,70,0,2.7%,0.142857,0.081633
Markleeville CDP,30,30,0,0.0%,0.064140,0.000000
Mesa Vista CDP,110,110,0,3.5%,0.212828,0.142857
,,,,,,
,,,,,,
Amador County                                               ,"14,830","14,250",580,3.9%,1.000000,1.000000
,,,,,,
Amador City city,70,70,10,8.2%,0.004683,0.009901
Ione city,"2,330","2,320",10,0.4%,0.162532,0.016832
Jackson city,"2,000","1,920",80,3.9%,0.134797,0.134653
Plymouth city,540,530,10,2.6%,0.037029,0.023762
Sutter Creek city,"1,110","1,090",20,1.9%,0.076546,0.035644
,,,,,,
,,,,,,
Orange County                                               ,"1,616,800","1,571,300","45,500",2.8%,1.000000,1.000000
,,,,,,
Aliso Viejo city,"30,000","29,200",800,2.6%,N/A,N/A
Anaheim city,"171,000","165,900","5,100",3.0%,N/A,N/A
Brea city,"23,000","22,400",600,2.7%,N/A,N/A
Buena Park city,"40,100","38,800","1,300",3.1%,N/A,N/A
Costa Mesa city,"65,800","64,100","1,700",2.6%,N/A,N/A
Coto de Caza CDP,"7,800","7,600",200,2.2%,0.004854,0.003771
Cypress city,"25,200","24,400",700,2.9%,N/A,N/A
Dana Point city,"18,700","18,200",500,2.6%,N/A,N/A
Fountain Valley city,"28,100","27,300",800,2.9%,N/A,N/A
Fullerton city,"70,000","67,900","2,100",2.9%,N/A,N/A
Garden Grove city,"81,300","78,800","2,500",3.1%,N/A,N/A
Huntington Beach city,"108,400","105,300","3,100",2.8%,N/A,N/A
Irvine city,"150,700","146,700","4,000",2.7%,N/A,N/A
La Habra city,"30,200","29,300",900,2.9%,N/A,N/A
La Palma city,"7,700","7,600",200,2.5%,0.004809,0.004211
Laguna Beach city,"12,500","12,200",300,2.6%,N/A,N/A
Laguna Hills city,"17,200","16,700",400,2.5%,N/A,N/A
Laguna Niguel city,"35,800","34,800","1,000",2.7%,N/A,N/A
Laguna Woods city,"3,100","3,000",100,2.1%,0.001930,0.001451
Lake Forest city,"49,200","48,000","1,200",2.5%,N/A,N/A
Las Flores CDP,"3,000","3,000",100,2.1%,0.001891,0.001399
Los Alamitos city,"5,600","5,500",200,2.9%,0.003475,0.003537
Mission Viejo city,"49,400","48,000","1,400",2.8%,N/A,N/A
Newport Beach city,"44,700","43,600","1,100",2.5%,N/A,N/A
Orange city,"72,000","70,000","2,000",2.8%,N/A,N/A
Placentia city,"25,700","24,900",800,2.9%,N/A,N/A
Rancho Santa Margarita city,"27,600","26,900",700,2.6%,N/A,N/A
Rossmoor CDP,"5,100","4,900",100,2.9%,0.003135,0.003252
San Clemente city,"31,800","30,900",900,2.7%,N/A,N/A
San Juan Capistrano city,"17,200","16,800",500,2.6%,N/A,N/A
Santa Ana city,"158,000","153,500","4,600",2.9%,N/A,N/A
Seal Beach city,"9,900","9,600",300,3.2%,N/A,N/A
Stanton city,"18,500","17,900",600,3.1%,N/A,N/A
Tustin city,"42,500","41,400","1,100",2.7%,N/A,N/A
Villa Park city,"2,500","2,500",0,1.5%,0.001574,0.000842
Westminster city,"41,800","40,500","1,300",3.1%,N/A,N/A
Yorba Linda city,"35,000","34,100",900,2.6%,N/A,N/A
,,,,,,
,,,,,,
Kern County                                                 ,"388,800","358,400","30,400",7.8%,1.000000,1.000000
,,,,,,
Arvin city,"8,900","8,200",700,7.6%,0.022892,0.022104
Bakersfield city,"177,500","168,000","9,500",5.3%,N/A,N/A
Bear Valley Springs CDP,"1,800","1,700",100,5.2%,0.004769,0.003097
Bodfish CDP,500,500,0,8.1%,0.001267,0.001308
Boron CDP,900,900,100,5.9%,0.002373,0.001735
Buttonwillow CDP,500,400,100,10.4%,0.001249,0.001709
California City city,"4,900","4,100",800,15.5%,0.011452,0.024720
China Lake Acres CDP,700,700,0,2.8%,0.001928,0.000667
Delano city,"22,200","17,100","5,100",23.0%,N/A,N/A
Derby Acres CDP,100,100,0,8.3%,0.000341,0.000347
Dustin Acres CDP,200,200,0,2.5%,0.000661,0.000187
Edwards AFB CDP,400,300,0,7.0%,0.000970,0.000854
Fellows CDP,0,0,0,0.0%,0.000061,0.000000
Ford City CDP,"1,900","1,700",200,10.0%,0.004702,0.006140
Frazier Park CDP,"1,300","1,100",100,9.7%,0.003162,0.004004
Golden Hills CDP,"4,100","4,000",100,3.0%,0.011140,0.004084
Inyokern CDP,300,300,0,0.0%,0.000783,0.000000
Johannesburg CDP,0,0,0,0.0%,0.000000,0.000000
Keene CDP,100,100,0,0.0%,0.000379,0.000000
Kernville CDP,300,300,0,0.8%,0.000719,0.000053
Lake Isabella CDP,"1,200","1,000",200,13.1%,0.002917,0.005179
Lake of the Woods CDP,300,300,0,0.0%,0.000705,0.000000
Lamont CDP,"6,800","6,300",500,7.1%,0.017499,0.015751
Lebec CDP,900,700,200,17.8%,0.001957,0.004992
Lost Hills CDP,800,800,0,3.5%,0.002163,0.000908
Maricopa city,400,400,0,10.8%,0.001039,0.001495
McFarland city,"5,800","5,200",600,10.7%,0.014515,0.020529
McKittrick CDP,0,0,0,0.0%,0.000108,0.000000
Mettler CDP,100,100,0,11.8%,0.000230,0.000347
Mojave CDP,"1,600","1,400",200,14.8%,0.003797,0.007795
Mountain Mesa CDP,200,200,0,10.8%,0.000463,0.000667
North Edwards CDP,400,400,100,13.5%,0.001039,0.001922
Oildale CDP,"14,800","13,000","1,800",12.0%,0.036399,0.058731
Onyx CDP,200,200,0,0.0%,0.000440,0.000000
Pine Mountain Club CDP,600,500,0,5.6%,0.001517,0.001068
Randsburg CDP,0,0,0,0.0%,0.000041,0.000000
Ridgecrest city,"13,700","13,300",400,2.9%,N/A,N/A
Rosamond CDP,"9,100","8,400",800,8.2%,0.023378,0.024667
Rosedale CDP,"7,700","7,400",400,4.8%,0.020574,0.012307
Shafter city,"7,900","7,400",600,7.2%,0.020527,0.018901
South Taft CDP,600,500,200,23.9%,0.001334,0.004939
Squirrel Mountain Valley CDP,300,200,0,14.1%,0.000661,0.001281
Stallion Springs CDP,"1,000",900,100,10.1%,0.002542,0.003337
Taft city,"3,300","3,200",100,3.9%,0.008863,0.004245
Taft Heights CDP,900,800,100,8.6%,0.002291,0.002536
Tehachapi city,"3,700","3,500",200,5.8%,0.009670,0.007048
Tupman CDP,100,100,0,10.0%,0.000151,0.000214
Valley Acres CDP,200,200,0,18.1%,0.000544,0.001415
Wasco city,"9,100","8,000","1,200",12.7%,N/A,N/A
Weedpatch CDP,900,800,100,10.2%,0.002312,0.003097
Weldon CDP,"1,000","1,000",0,3.6%,0.002754,0.001228
Wofford Heights CDP,700,600,100,11.7%,0.001607,0.002509
,,,,,,
,,,,,,
Calaveras County                                            ,"21,360","20,540",820,3.8%,1.000000,1.000000
,,,,,,
Angels city,"1,840","1,790",50,2.8%,0.087267,0.062181
Arnold CDP,"1,000",950,50,5.4%,0.046101,0.066440
Avery CDP,310,300,10,3.5%,0.014632,0.013629
Copperopolis CDP,"2,370","2,250",130,5.3%,0.109331,0.152470
Dorrington CDP,90,90,0,3.3%,0.004239,0.004259
Forest Meadows CDP,480,450,30,6.6%,0.022005,0.039182
Mokelumne Hill CDP,250,230,30,10.2%,0.011090,0.031516
Mountain Ranch CDP,490,450,30,7.0%,0.022122,0.040886
Murphys CDP,970,950,20,1.7%,0.046217,0.019591
Rancho Calaveras CDP,"3,770","3,680",90,2.5%,0.179121,0.113288
San Andreas CDP,"1,080","1,060",20,1.8%,0.051791,0.024702
Valley Springs CDP,"2,010","1,950",60,2.8%,0.094989,0.068143
West Point CDP,140,140,0,0.0%,0.006735,0.000000
,,,,,,
,,,,,,
Butte County                                                ,"98,100","93,100","5,000",5.1%,1.000000,1.000000
,,,,,,
Biggs city,800,800,0,2.3%,0.008648,0.003782
Chico city,"53,800","51,800","2,000",3.7%,N/A,N/A
Concow CDP,200,100,0,18.3%,0.001478,0.006145
Durham CDP,"2,800","2,800",100,3.0%,0.029596,0.017135
Gridley city,"2,600","2,500",100,3.7%,0.026817,0.019263
Magalia CDP,"4,400","4,200",200,4.5%,0.044643,0.039352
Oroville city,"6,400","6,100",400,5.5%,0.065227,0.070314
Oroville East CDP,"3,000","2,900",100,3.5%,0.030772,0.020563
Palermo CDP,"2,000","1,900",100,7.2%,0.019928,0.028717
Paradise town,"2,000","1,800",200,10.1%,N/A,N/A
South Oroville CDP,"1,200","1,100",100,5.6%,0.011884,0.012999
Thermalito CDP,"2,400","2,100",300,11.4%,0.022499,0.053770
,,,,,,
,,,,,,
Colusa County                                               ,"10,990","9,570","1,420",12.9%,1.000000,1.000000
,,,,,,
Arbuckle CDP,"2,170","1,790",370,17.3%,0.187061,0.264368
Colusa city,"3,110","2,840",270,8.8%,0.296533,0.193103
Williams city,"2,640","2,410",240,9.0%,0.251238,0.167816
,,,,,,
,,,,,,
Contra Costa County                                         ,"561,000","543,500","17,500",3.1%,1.000000,1.000000
,,,,,,
Alamo CDP,"6,300","6,200",100,1.0%,0.011467,0.003759
Antioch city,"50,600","48,600","2,000",4.0%,N/A,N/A
Bay Point CDP,"12,400","11,800",600,4.8%,0.021794,0.034244
Bethel Island CDP,800,800,0,2.8%,0.001380,0.001274
Brentwood city,"29,700","28,700","1,000",3.3%,N/A,N/A
Byron CDP,500,500,0,6.4%,0.000858,0.001816
Clayton city,"5,900","5,800",100,1.8%,0.010583,0.006116
Clyde CDP,400,400,0,4.2%,0.000792,0.001083
Concord city,"65,500","63,600","1,900",2.9%,N/A,N/A
Crockett CDP,"1,800","1,700",100,3.0%,0.003161,0.003122
Danville town,"20,600","20,100",600,2.7%,N/A,N/A
Diablo CDP,100,100,0,0.0%,0.000172,0.000000
Discovery Bay CDP,"8,000","7,800",200,2.5%,0.014366,0.011691
East Richmond Heights CDP,"1,900","1,800",0,1.0%,0.003370,0.001083
El Cerrito city,"13,800","13,400",300,2.5%,N/A,N/A
El Sobrante CDP,"7,500","7,300",200,3.3%,0.013387,0.014271
Hercules city,"14,200","13,800",400,2.8%,N/A,N/A
Kensington CDP,"2,700","2,600",100,2.6%,0.004809,0.003982
Knightsen CDP,600,600,0,0.7%,0.001035,0.000223
Lafayette city,"12,700","12,400",300,2.5%,N/A,N/A
Martinez city,"20,500","19,900",600,2.9%,N/A,N/A
Moraga town,"7,600","7,400",200,2.3%,0.013660,0.010098
Mountain View CDP,"1,200","1,100",100,4.8%,0.002079,0.003249
