City,2015,2016,2017,2018,2019,2020,2021
Biggs,159335.3,175776.9,193787.1,216780.9,246341.8,265852.8,308821.5
Bishop,324051.5,341992.9,359919.8,392042.1,411441.6,430302.9,486432.2
Bloomington,232059.8,248709.7,281638.1,325185.4,343278.2,365064.1,430429.9
Blue Lake,287359.6,300749,330210.7,357501.5,377905.5,389976.2,438963.4
Blythe,115179.7,126322,137585,152413.5,156515.6,169496.9,193313.9
Bodega Bay,789339.2,840574,854246.4,916252,918279.8,934338.1,1102440.9
Bodfish,96961.2,103108.8,109738.8,119824,128228.9,136241.4,158891.1
Bolinas,1039214.3,1208384.2,1308828.9,1444420.7,1445947.9,1534142.4,1716210.3
Bonita,583332.8,617017.8,649642.6,680130.2,687138.2,732914.8,876854.2
Bonsall,607920.2,639914.3,677773.3,717019.8,709269.2,748486.4,905120.2
Boron,48976.6,52651.9,60717.6,76851,89555.8,94371.3,116369.1
Borrego Springs,214313.9,228428.5,242266.4,248467.6,245023.8,259108.6,311300.3
Boulder Creek,488899,554726.5,598485.7,639993.4,634527.3,650108.1,742823.6
Boulevard,212609.2,240714.3,270878.4,300829,308080.2,339545.1,389991.3
Bradbury,1625308.9,1522857.2,1622802.6,1852818,1831834.8,1824616.7,1965606.9
Bradley,398812.8,412479.6,442017.7,462991.7,457987.6,477718.2,539907.8
Brawley,174680.6,189181.7,201526.3,209686.5,222815.3,242412,269299.7
Brea,605014,625358.1,679406.5,722005,722361.5,755297.3,858558
Brentwood,477794.4,519163.6,551201.2,588920.8,605172.4,626953.9,754386.2
Bridgeport,241462.5,262853.1,286028.4,306436.5,324845.3,340219.3,387584.2
Brisbane,867691.1,959944.9,1018135.8,1140736.3,1111644.8,1158023.3,1267122.7
Browns Valley,342043.1,367362,394848,436211.9,450487.8,462544.2,545641.5
Brownsville,192412.7,217259.8,236967,249926.4,259695.1,275675.1,319860.7
Buellton,525862.5,565581.3,588582.6,602671.6,610458.3,642560,750179.1
Buena Park,458410.5,481193.9,534254.1,581066.2,587802.8,623471.3,715637.2
Burbank,615116.5,636039.7,696933.1,794836.8,827281.1,879298,1019652.1
Burlingame,1824971.9,1966721.8,2057946.1,2300090.4,2249192.1,2305013.4,2554760.2
Buttonwillow,98257.9,106631.8,114103.6,125182,138871,155158.2,181950.6
Cabazon,119814.5,132924.8,143667.3,167768.7,179773.5,199514.9,239489.3
Calabasas,1014714.8,1015909.9,1085091.3,1198741.3,1231132.7,1277316.1,1493758.7
Calexico,185918.7,205035,218158.7,229390.7,244802.4,261076.8,288325.1
Caliente,174607.1,187334,190745.4,208079.5,210345,219730.2,262871.4
California City,93566.8,106140.8,123265.2,147778.7,164229.2,173688.6,215983.8
Calimesa,280694.1,303086.9,324967.1,356523.7,365681.8,386612.5,460409.5
Calipatria,117578.5,133168.5,142255.1,156443.8,170754.5,187616.6,204852.2
Calistoga,770766.3,835313.9,904736,970472.2,999748.4,1006386.1,1136045.3
Calpine,182971.5,202232.8,225544.7,247557.4,260678.7,271149.9,328777.3
Camarillo,570625.9,600527,629110.1,657877.7,663661.1,685223.8,780224.3
Cambria,566022.3,580827.1,633355.8,670767.6,681715,709054.7,824972.5
Camino,313342.9,340322.3,369160.8,392470.6,402099.3,403980.4,471611.5
Campbell,979252.5,1032959.7,1057259.9,1311293.7,1288270.8,1314506.5,1508531.9
Campo,221314.5,253748.2,286139.9,314346.5,324090,347935.9,409634.8
Camptonville,223889.6,246907.7,257001.8,269449.7,275228.6,296953.7,335525.7
Cantua Creek,92947,101288.5,118080.6,135208,146621.3,153220.8,178775.2
Canyon Lake,379403,390680.9,409013.2,448129.2,461025.3,481265.2,592105.5
Capitola,828292.7,891353.7,944682.3,1023134,999225.8,1032721.2,1274351.4
Carlotta,322153.3,361632.1,414028.9,443026.4,449372,457069.6,474138.8
Carlsbad,812427.3,818894.4,848671.4,890385.5,899892.2,944768.1,1152495.1
Carmel Valley,811205.3,882391,920985.7,969245.5,1013943.7,1044208.6,1278780.1
Carmel-by-the-Sea,1343067.5,1438081.5,1498088.5,1579262.7,1615801.2,1644159.5,2004934.2
Carmichael,333848.3,354545.7,379153.1,404964.8,419584.8,439900.7,515676.1
Carnelian Bay,575827.7,615983.1,643902.6,679260.4,706153,736151.4,1018484.8
Carpinteria,952159,1013589.3,1042616.8,1089294.1,1093932.4,1083543.9,1295921.3
Carson,387321.3,408416.5,451546.4,508967.9,539056.9,579379.2,662517.5
Caruthers,178746.4,194752.9,210932.6,227039,243934.3,256244.9,297505.5
Castaic,444881.4,466190,500795.6,542516.2,556358.7,579588.8,676988.7
Castro Valley,660405.3,725498.1,768631,843734.3,835013.3,868861.3,1041469.1
Castroville,359646.8,403182.7,438132.1,469054.4,485622.1,531039.3,588504.6
Cathedral City,243915.4,258752.7,271678.8,297006.4,317105.6,340692.7,417679.5
Catheys Valley,314147.9,335816,367860.8,384091.1,400533.8,417257.8,498317.4
Cayucos,764839,792894.4,880452.8,928417.1,923513.5,954300,1112894.6
