City,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2015 Price,2016 Price,2017 Price,2018 Price,2019 Price,2020 Price,2021 Price,2016 Population Change (%),2017 Population Change (%),2018 Population Change (%),2019 Population Change (%),2020 Population Change (%),2021 Population Change (%),2016 Price Change (%),2017 Price Change (%),2018 Price Change (%),2019 Price Change (%),2020 Price Change (%),2021 Price Change (%)
Auburn,13785.0,13858.0,13911.0,13946.0,14011.0,14104.0,13738.0,379138.3,408087.9,438338.2,470622.2,486982.2,505389.9,593692.3,0.5295611171563294,0.38245057006783084,0.2515994536697578,0.4660834647927721,0.663764185282992,-2.5950085082246175,7.635630586516856,7.412692216554323,7.365089330567128,3.476249101721083,3.7799533535311993,17.47213389108093
August,8369.0,7781.0,7942.0,8774.0,8405.0,8046.0,9829.0,108428.2,130193.6,153677.9,183677.4,207322.6,229081.2,270811.9,-7.02592902377823,2.069142783703894,10.475950642155627,-4.205607476635514,-4.271267102914932,22.16007954262988,20.073560199283957,18.037983433901502,19.52102416808142,12.87322229082076,10.49504492033189,18.216553780930084
Avalon,3777.0,3767.0,3778.0,3763.0,3731.0,3738.0,3514.0,643182.4,636372.1,668024.5,747161.0,779869.0,770964.4,850532.5,-0.2647603918453799,0.29200955667640033,-0.39703546850185284,-0.8503853308530427,0.18761726078799248,-5.992509363295881,-1.0588442718581923,4.973882418792405,11.846346952843795,4.377637483755175,-1.1418071496623121,10.32059327252983
Avenal,14154.0,13590.0,13119.0,12923.0,12961.0,13033.0,13881.0,106133.3,115703.6,126688.7,137520.4,147477.5,160237.1,186748.5,-3.984739296311997,-3.4657836644591615,-1.494016312218919,0.2940493693414842,0.5555126919219197,6.506560270083633,9.017245294360961,9.494173042152527,8.54985488050631,7.2404530527834465,8.651896051940131,16.545107219239487
Avila Beach,1270.0,1242.0,1080.0,1273.0,1311.0,1455.0,1613.0,984388.0,1015308.5,1105395.0,1179206.7,1176515.4,1176096.0,1303465.7,-2.204724409448819,-13.043478260869565,17.87037037037037,2.9850746268656714,10.983981693363845,10.859106529209622,3.14108867641621,8.872820428470755,6.677404909557214,-0.22822970731085965,-0.0356476421813014,10.829872731477698
Avocado Heights,15917.0,16188.0,16213.0,15903.0,15426.0,13836.0,13322.0,382740.6,400474.8,446954.0,505545.9,528762.5,559482.0,647349.4,1.702582144876547,0.15443538423523598,-1.9120458891013385,-2.9994340690435766,-10.3072734344613,-3.7149465163342006,4.633477608594441,11.60602364992754,13.109156646992762,4.592382214948232,5.809697170279662,15.705134392169903
Azusa,48033.0,48498.0,49029.0,49544.0,49753.0,49584.0,49457.0,370819.1,386443.0,423843.7,463478.4,477245.1,502844.5,579681.0,0.968084441946162,1.094890510948905,1.050398743600726,0.4218472468916519,-0.33967800936626935,-0.25613101000322686,4.213348233680526,9.678193161734075,9.351253775861245,2.9703002340562046,5.3639943081657675,15.280369975211025
Bakersfield,363612.0,367555.0,372680.0,375699.0,377917.0,379879.0,398756.0,218718.9,225261.3,230508.4,242099.3,253835.7,270198.3,315596.4,1.084397654642861,1.3943491450259144,0.8100783514006655,0.5903662240250839,0.5191616148519383,4.969213881262191,2.991236696965829,2.3293393050648317,5.0284067738963065,4.847762880768356,6.446138190963673,16.801771143637854
Baldwin Park,76602.0,76511.0,76572.0,76222.0,75892.0,75659.0,72813.0,341867.0,357549.0,392618.9,447741.9,468642.5,496254.6,566450.9,-0.1187958538941542,0.07972709806433062,-0.45708614114820034,-0.43294586864684736,-0.30701523217203397,-3.7616146129343506,4.5871640140756496,9.808417867201424,14.03982335032776,4.668001810864691,5.891932549864764,14.145219006534157
Ballico,315.0,318.0,383.0,401.0,538.0,508.0,444.0,444988.4,477365.8,523141.6,575847.2,596900.0,617863.9,757794.5,0.9523809523809524,20.440251572327046,4.699738903394255,34.1645885286783,-5.5762081784386615,-12.598425196850393,7.276009891493793,9.589250004922848,10.074824865772475,3.6559698475567908,3.5121293348969718,22.64747948536886
Bangor,586.0,474.0,524.0,372.0,429.0,407.0,420.0,235644.5,252089.3,276918.4,305087.9,325586.1,320444.0,380268.1,-19.112627986348123,10.548523206751055,-29.00763358778626,15.32258064516129,-5.128205128205128,3.194103194103194,6.978647920914763,9.849327202701597,10.17249124651883,6.718784979673055,-1.5793364643023695,18.66912783512875
Banning,30515.0,30643.0,30824.0,30942.0,31072.0,30276.0,29664.0,197124.4,214581.5,232914.8,263083.7,274601.2,284792.4,333287.5,0.41946583647386526,0.5906732369546063,0.3828185829223981,0.42014090879710425,-2.561791967044284,-2.0214030915576697,8.855879840344477,8.543746781525895,12.952762125893255,4.37788430069974,3.7112729296157525,17.028228281372666
Barstow,23281.0,23438.0,23609.0,23812.0,23899.0,23547.0,25123.0,96538.7,105689.4,121247.9,145364.0,152111.5,161984.1,201331.4,0.6743696576607534,0.729584435532042,0.8598415858359101,0.3653620023517554,-1.4728649734298505,6.692996984753896,9.4787893352614,14.72096539482673,19.88991149537436,4.641795767865496,6.490370550550094,24.29084089117388
Bass Lake,739.0,488.0,571.0,500.0,449.0,291.0,314.0,397661.7,392625.1,401409.2,462023.1,456764.3,500534.6,578217.3,-33.96481732070365,17.008196721311474,-12.43432574430823,-10.2,-35.18930957683742,7.903780068728522,-1.266553957798811,2.2372741834386125,15.100276725097473,-1.138211487694011,9.582688489446305,15.519946073658058
Beaumont,40899.0,42191.0,43641.0,45403.0,47144.0,48272.0,52081.0,272314.4,291659.3,310232.8,334807.5,346990.5,364438.9,440013.1,3.1590014425780586,3.43675191391529,4.037487683600284,3.834548377860494,2.392669268623791,7.890702684786212,7.103884333696625,6.368217985848556,7.92137388438618,3.6388073743867744,5.028495016434174,20.737138653420352
Bell,35998.0,35927.0,35942.0,35809.0,35682.0,35301.0,33915.0,311226.3,328658.9,365779.3,410411.7,437050.5,471003.8,531943.5,-0.19723317962109005,0.041751329083975844,-0.3700406210005008,-0.3546594431567483,-1.0677652597948546,-3.9262343842950624,5.6012618470868425,11.294506249488439,12.202002683038659,6.490750629185276,7.768736107154663,12.93826079534815
Bell Canyon,2094.0,2159.0,2150.0,2391.0,2109.0,1991.0,1844.0,1282790.9,1377402.7,1437152.2,1515634.5,1530078.8,1559608.2,1870886.0,3.1041069723018144,-0.41685965724872626,11.209302325581396,-11.794228356336262,-5.59506875296349,-7.383224510296333,7.375465479214115,4.33783816453968,5.460959528155755,0.9530200058127501,1.929926746256461,19.958717836954182
Bell Gardens,42842.0,42805.0,42845.0,42641.0,42421.0,41770.0,39870.0,311872.6,330839.6,373100.2,421227.4,448148.9,484049.5,551097.1,-0.08636384855982447,0.09344702721644668,-0.4761349048897187,-0.5159353673694331,-1.5346172886070577,-4.548719176442423,6.081650007086227,12.77374292557482,12.899269418778122,6.391203421239928,8.010864246236011,13.851393297586295
Bellflower,77756.0,77687.0,77852.0,77529.0,77195.0,76339.0,79070.0,396332.3,415087.9,456598.7,511725.1,531768.4,566282.9,651401.2,-0.08873913267143371,0.2123907474867095,-0.4148897908852695,-0.4308065369087696,-1.1088801088153377,3.577463681735417,4.732291564427133,10.000484234784967,12.073271343085286,3.9168100216307637,6.490513539352846,15.031056032241116
Belmont,26766.0,26918.0,27110.0,27110.0,27097.0,26963.0,28109.0,1372497.7,1521040.4,1598586.5,1824753.0,1766081.5,1782607.2,2002653.7,0.5678846297541658,0.7132773608737647,0.0,-0.04795278495020288,-0.4945196885264051,4.250268886993287,10.822801378829265,5.098227502701446,14.14790503985865,-3.215311880566849,0.9357269186048296,12.344082308205644
Belvedere,1992.0,2017.0,2156.0,2098.0,2134.0,2246.0,2309.0,3243780.4,3487601.2,3584193.4,3705238.3,3630680.0,3641814.0,4201111.1,1.2550200803212852,6.891422905304909,-2.6901669758812616,1.7159199237368923,5.248359887535145,2.8049866429207477,7.516563081767197,2.7695884495050556,3.3771866216817403,-2.0122403463226592,0.3066643163264182,15.357651434147918
Ben Lomond,6507.0,6573.0,6923.0,7071.0,6890.0,7378.0,7528.0,576643.1,639303.3,687729.0,745477.3,741820.5,766630.3,888418.2,1.0142923005993545,5.324813631522897,2.1378015311281238,-2.5597510960260217,7.082728592162554,2.033071293033342,10.866374712538843,7.5747614629863405,8.396955777639164,-0.49053136829250826,3.3444478819337085,15.886131816078741
Benicia,27657.0,27780.0,28011.0,28088.0,28192.0,28158.0,27191.0,526836.5,572369.3,607962.7,651818.0,651387.4,666006.8,773582.1,0.4447337021368912,0.8315334773218143,0.274892006711649,0.370264881800057,-0.12060158910329172,-3.434192769372825,8.642681363193333,6.218607462000478,7.21348530098969,-0.06606138523329776,2.2443479870811167,16.15228252924744
Berkeley,117384.0,118585.0,120179.0,120926.0,121485.0,123065.0,119607.0,1002675.2,1097710.6,1166853.4,1273078.8,1254099.9,1298156.9,1458542.8,1.0231377359776461,1.3441834970696125,0.6215728205426905,0.46226617931627606,1.300572087088941,-2.8098972087921017,9.478183962264165,6.298818650380146,9.103577193158982,-1.490787530198456,3.513037517984014,12.354893310662227
Berry Creek,1325.0,1133.0,1179.0,1241.0,1313.0,1278.0,1190.0,184566.8,204380.1,217806.0,241805.0,261873.2,262860.2,298569.4,-14.49056603773585,4.060017652250663,5.258693808312128,5.801772763900081,-2.6656511805026657,-6.885758998435055,10.735029268535847,6.569083780661616,11.01852106920838,8.299332106449416,0.37689996532673065,13.584863741258665
Bethel Island,2172.0,2199.0,2379.0,2010.0,2161.0,2015.0,2119.0,385899.9,423413.3,459604.4,501929.0,510435.9,540006.3,641737.2,1.2430939226519337,8.185538881309688,-15.510718789407314,7.512437810945273,-6.756131420638593,5.161290322580645,9.721018326255063,8.547464144371478,9.208919670916984,1.6948413022559012,5.793166193835509,18.838835769138228
Beverly Hills,34663.0,34627.0,34506.0,34362.0,34186.0,33709.0,32903.0,2426696.6,2353105.0,2798260.1,3638443.6,4511022.3,4719830.5,5092201.6,-0.10385713873582783,-0.3494382995928033,-0.4173187271778821,-0.5121937023456143,-1.3953080208272393,-2.39105283455457,-3.032583471703883,18.91777459994348,30.02521102309253,23.982196673324815,4.628844330918076,7.889501540362512
Bieber,120.0,126.0,170.0,178.0,156.0,145.0,147.0,93395.0,105445.1,117286.8,133891.2,141164.1,141019.7,170345.6,5.0,34.92063492063492,4.705882352941177,-12.359550561797752,-7.051282051282051,1.3793103448275863,12.902296696825319,11.230204153630654,14.157091846652827,5.431947730694768,-0.10229229669582718,20.795605153038895
Big Bear City,13535.0,13859.0,13186.0,13312.0,13463.0,12621.0,12913.0,178461.2,188065.5,207652.2,242787.1,248105.8,257088.2,345000.4,2.393793867750277,-4.856050220073598,0.9555589261337782,1.1343149038461537,-6.2541781178043525,2.3136043102765234,5.381730034315575,10.41482887610966,16.920071157444994,2.1906847604341344,3.6203909783648847,34.19534618858431
Big Bear Lake,5145.0,5149.0,5190.0,5229.0,5241.0,5302.0,5068.0,301609.8,308942.6,336480.3,377159.2,373587.3,389458.2,527129.7,0.07774538386783285,0.7962711206059429,0.7514450867052023,0.22948938611589212,1.1639000190803281,-4.413428894756696,2.431220736196234,8.913532805123028,12.089533919222024,-0.9470536579778575,4.248243984739316,35.34949321904121
Biggs,1765.0,1985.0,2034.0,2323.0,2175.0,2648.0,2692.0,159335.3,175776.9,193787.1,216780.9,246341.8,265852.8,308821.5,12.464589235127479,2.468513853904282,14.208456243854473,-6.371071889797674,21.74712643678161,1.6616314199395772,10.31886844911329,10.246056222404658,11.865495690889635,13.63630282926217,7.920296108902347,16.1625907268985
Bishop,3839.0,3832.0,3802.0,3765.0,3745.0,3747.0,3800.0,324051.5,341992.9,359919.8,392042.1,411441.6,430302.9,486432.2,-0.18233915082052618,-0.7828810020876826,-0.9731720147290899,-0.5312084993359893,0.0534045393858478,1.4144649052575393,5.536589091548727,5.241892448644391,8.924849369220585,4.948320601282362,4.584198583711528,13.04413704857671
